product_id,category,discounted_price,actual_price,discount_percentage,rating,rating_count,year
B083342NKJ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,349.00,399.00,13%,4.4,"18,757",2024
B0B6F7LX4C,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13999.00,24999.00,44%,4.2,"32,840",2020
B082LSVT4B,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,249.00,399.00,38%,4,"43,994",2022
B08WRBG3XW,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.00,499.00,60%,4.1,"13,045",2023
B08DPLCM6T,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13490.00,21990.00,39%,4.3,"11,976",2022
B09C6HXFC1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970.00,1799.00,46%,4.5,815,2019
B085194JFL,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",279.00,499.00,44%,3.7,"10,962",2024
B09F6S8BT6,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13490.00,22900.00,41%,4.3,"16,299",2023
B09NHVCHS9,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,59.00,199.00,70%,4,"9,378",2020
B0B1YVCJ2Y,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",11499.00,19990.00,42%,4.3,"4,703",2023
B01M4GGIVU,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",199.00,699.00,72%,4.2,"12,153",2023
B08B42LWKN,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",14999.00,19999.00,25%,4.2,"34,899",2019
B094JNXNPV,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.00,399.00,25%,4,"2,766",2020
B09W5XR9RT,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970.00,1999.00,51%,4.4,184,2019
B077Z65HSD,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.00,999.00,70%,4.3,"20,850",2022
B00NH11PEY,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.00,750.00,73%,4.5,"74,976",2021
B09CMM3VGK,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,179.00,499.00,64%,4,"1,934",2020
B08QSC1XY8,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,389.00,1099.00,65%,4.3,974,2022
B008FWZGSG,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599.00,599.00,0%,4.3,355,2019
B0B4HJNPV4,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.00,999.00,80%,3.9,"1,075",2022
B08Y1SJVV5,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,99.00,666.66,85%,3.9,"24,871",2022
B07XLCFSSN,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,899.00,1900.00,53%,4.4,"13,552",2022
B09RZS1NQT,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.00,999.00,80%,4,576,2024
B0B3MMYHYW,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",32999.00,45999.00,28%,4.2,"7,298",2023
B09C6HWG18,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,970.00,1999.00,51%,4.2,462,2024
B00NH11KIK,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,209.00,695.00,70%,4.5,"1,07,687",2020
B09JPC82QC,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",19999.00,34999.00,43%,4.3,"27,151",2021
B07JW1Y6XV,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.00,1099.00,64%,4.2,"24,269",2020
B07KRCW6LZ,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,999.00,1599.00,38%,4.3,"12,093",2022
B09NJN8L25,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,59.00,199.00,70%,4,"9,378",2020
B07XJYYH7L,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,333.00,999.00,67%,3.3,"9,792",2021
B002PD61Y4,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,507.00,1208.00,58%,4.1,"8,131",2020
B014I8SSD0,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",309.00,475.00,35%,4.4,"4,26,973",2020
B09L8DSSFH,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",399.00,999.00,60%,3.6,493,2020
B07232M876,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.00,395.00,50%,4.2,"92,595",2021
B07P681N66,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,1199.00,2199.00,45%,4.4,"24,780",2021
B0711PVX6Z,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,179.00,500.00,64%,4.2,"92,595",2019
B082T6V3DT,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,799.00,2100.00,62%,4.3,"8,188",2022
B07MKFNHKG,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",6999.00,12999.00,46%,4.2,"4,003",2021
B0BFWGBX61,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.00,349.00,43%,4.1,314,2020
B01N90RZ4M,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",230.00,499.00,54%,3.7,"2,960",2023
B0088TKTY2,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,649.00,1399.00,54%,4.2,"1,79,691",2021
B09Q5SWVBJ,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",15999.00,21999.00,27%,4.2,"34,899",2024
B0B4DT8MKT,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,348.00,1499.00,77%,4.2,656,2020
B08CDKQ8T6,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,154.00,349.00,56%,4.3,"7,064",2019
B07B275VN9,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",179.00,799.00,78%,3.7,"2,201",2019
B0B15CPR37,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",32990.00,47900.00,31%,4.3,"7,109",2021
B0994GFWBH,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,139.00,999.00,86%,4,"1,313",2020
B01GGKZ0V6,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,329.00,845.00,61%,4.2,"29,746",2020
B09F9YQQ7B,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",13999.00,24999.00,44%,4.2,"45,238",2020
B014I8SX4Y,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",309.00,1400.00,78%,4.4,"4,26,973",2023
B09Q8HMKZX,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,263.00,699.00,62%,4.1,450,2019
B0B9XN9S3W,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",7999.00,14990.00,47%,4.3,457,2021
B07966M8XH,"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",1599.00,2999.00,47%,4.2,"2,727",2024
B01GGKYKQM,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,219.00,700.00,69%,4.3,"20,053",2024
B0B86CDHL1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,349.00,899.00,61%,4.5,149,2021
B0B5ZF3NRK,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,349.00,599.00,42%,4.1,210,2021
B09RFC46VP,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",26999.00,42999.00,37%,4.2,"45,238",2024
B08R69VDHT,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,115.00,499.00,77%,4,"7,732",2022
B09RWZRCP1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.00,999.00,60%,4.1,"1,780",2023
B09CMP1SC8,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.00,499.00,60%,4.1,602,2024
B09YLXYP7Y,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,179.00,399.00,55%,4,"1,423",2022
B09ZPM4C2C,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",10901.00,30990.00,65%,4.1,398,2021
B0B2DJDCPX,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,209.00,499.00,58%,3.9,536,2022
B0BCZCQTJX,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",1434.00,3999.00,64%,4,32,2021
B07LGT55SJ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.00,1099.00,64%,4.2,"24,269",2022
B09NKZXMWJ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,139.00,249.00,44%,4,"9,378",2024
B08QX1CC14,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",7299.00,19125.00,62%,3.4,902,2019
B0974H97TJ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.00,799.00,63%,4.4,"28,791",2024
B07GVGTSLN,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,325.00,1299.00,75%,4.2,"10,576",2019
B09VCHLSJF,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",29999.00,39999.00,25%,4.2,"7,298",2021
B0B1YZX72F,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",27999.00,40990.00,32%,4.3,"4,703",2019
B092BJMT8Q,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",30990.00,52900.00,41%,4.3,"7,109",2024
B0BMXMLSMM,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.00,999.00,80%,4.5,127,2019
B07JH1C41D,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,649.00,1999.00,68%,4.2,"24,269",2021
B0141EZMAI,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,269.00,800.00,66%,3.6,"10,134",2020
B09Q5P2MT3,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",24999.00,31999.00,22%,4.2,"34,899",2023
B08HDH26JX,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.00,699.00,57%,4.2,"94,363",2020
B09VT6JKRP,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,199.00,999.00,80%,4.1,425,2024
B09T3KB6JZ,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",18990.00,40990.00,54%,4.2,"6,659",2023
B093QCY6YJ,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,290.00,349.00,17%,3.7,"1,977",2019
B093ZNQZ2Y,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",249.00,799.00,69%,3.8,"1,079",2021
B08LKS3LSP,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,345.00,999.00,65%,3.7,"1,097",2019
B00V4BGDKU,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,1099.00,1899.00,42%,4.5,"22,420",2022
B08CHKQ8D4,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,719.00,1499.00,52%,4.1,"1,045",2024
B09BW334ML,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",349.00,1499.00,77%,4.3,"4,145",2024
B082T6GVLJ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,849.00,1809.00,53%,4.3,"6,547",2024
B07DL1KC3H,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299.00,899.00,67%,4,"1,588",2024
B0B6F98KJJ,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",21999.00,29999.00,27%,4.2,"32,840",2019
B07JNVF678,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,349.00,999.00,65%,4.2,"13,120",2019
B09QGZFBPM,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.00,999.00,60%,4.3,"2,806",2021
B07JGDB5M1,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,449.00,1299.00,65%,4.2,"24,269",2022
B0981XSZJ7,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.00,999.00,70%,4.3,766,2020
B0B9XLX8VR,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",37999.00,65000.00,42%,4.3,"3,587",2020
B08Y5KXR6Z,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,99.00,800.00,88%,3.9,"24,871",2022
B09F6VHQXB,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",7390.00,20000.00,63%,4.1,"2,581",2023
B0974G5Q2Y,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,273.10,999.00,73%,4.3,"20,850",2022
B09YL9SN9B,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",15990.00,23990.00,33%,4.3,"1,035",2024
B09RX1FK54,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.00,999.00,60%,4.1,"1,780",2019
B09TT6BFDX,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",399.00,1999.00,80%,4.5,505,2023
B09KH58JZR,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,210.00,399.00,47%,4.1,"1,717",2019
B09DDCQFMT,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",1299.00,1999.00,35%,3.6,590,2023
B08RP2L2NL,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,347.00,999.00,65%,3.5,"1,121",2020
B0B4G2MWSB,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149.00,999.00,85%,4,"1,313",2024
B0B21C4BMX,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,228.00,899.00,75%,3.8,132,2022
B084MZXJNK,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1599.00,1999.00,20%,4.4,"1,951",2023
B0BHZCNC4P,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",1499.00,3999.00,63%,3.7,37,2021
B0B16KD737,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",8499.00,15999.00,47%,4.3,592,2019
B099K9ZX65,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",20990.00,44990.00,53%,4.1,"1,259",2024
B08Y55LPBF,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",32999.00,44999.00,27%,4.2,"45,238",2021
B015OW3M1W,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",799.00,1700.00,53%,4.1,"28,638",2020
B01D5H8ZI8,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",229.00,595.00,62%,4.3,"12,835",2020
B09X1M3DHX,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",9999.00,27990.00,64%,4.2,"1,269",2022
B09MM6P76N,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",349.00,599.00,42%,4.2,284,2021
B01D5H8LDM,"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",489.00,1200.00,59%,4.4,"69,538",2020
B0B1YY6JJL,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",23999.00,34990.00,31%,4.3,"4,703",2024
B09QGZM8QB,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.00,999.00,60%,4.3,"2,806",2024
B08L4SBJRY,Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,349.00,1299.00,73%,4,"3,295",2023
B09X79PP8F,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,179.00,299.00,40%,3.9,81,2024
B082T6GVG9,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,689.00,1500.00,54%,4.2,"42,301",2024
B0B3XY5YT4,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",30990.00,49990.00,38%,4.3,"1,376",2020
B0B4HKH19N,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,249.00,931.00,73%,3.9,"1,075",2023
B08TGG316Z,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",999.00,2399.00,58%,4.6,"3,664",2021
B071VMP1Z4,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",399.00,399.00,0%,3.9,"1,951",2022
B071SDRGWL,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,349.00,699.00,50%,4.3,"20,850",2023
B08PSQRW2T,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.00,1099.00,64%,4.1,"2,685",2024
B0859M539M,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,1699.00,2999.00,43%,4.4,"24,780",2022
B08RX8G496,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",655.00,1099.00,40%,3.2,285,2023
B002SZEOLG,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,749.00,1339.00,44%,4.2,"1,79,692",2024
B08CS3BT4L,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",9999.00,12999.00,23%,4.2,"6,088",2020
B00RFWNJMC,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",195.00,499.00,61%,3.7,"1,383",2020
B082T6GXS5,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,999.00,2100.00,52%,4.5,"5,492",2023
B09CMQRQM6,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,499.00,899.00,44%,4.2,919,2023
B005LJQMCK,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",416.00,599.00,31%,4.2,"30,023",2024
B09C6H53KH,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,368.00,699.00,47%,4.2,387,2019
B0BB3CBFBM,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",29990.00,65000.00,54%,4.1,211,2023
B08QSDKFGQ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,339.00,1099.00,69%,4.3,974,2019
B08PV1X771,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",15490.00,20900.00,26%,4.3,"16,299",2021
B07YTNKVJQ,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,499.00,1299.00,62%,4.3,"30,411",2019
B0117H7GZ6,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,249.00,399.00,38%,3.4,"4,642",2022
B09XJ1LM7R,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",399.00,799.00,50%,4.3,12,2019
B084N133Y7,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1499.00,1999.00,25%,4.4,"1,951",2023
B088Z1YWBC,"Electronics|HomeTheater,TV&Video|Projectors",9490.00,15990.00,41%,3.9,"10,480",2019
B07VSG5SXZ,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",637.00,1499.00,58%,4.1,24,2022
B08RWCZ6SY,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",399.00,899.00,56%,3.9,254,2019
B07KSB1MLX,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",1089.00,1600.00,32%,4,"3,565",2020
B081FG1QYX,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,339.00,999.00,66%,4.3,"6,255",2021
B08R69WBN7,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149.00,499.00,70%,4,"7,732",2024
B0B3RHX6B6,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149.00,399.00,63%,3.9,57,2021
B084N18QZY,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599.00,849.00,29%,4.5,577,2022
B081NHWT6Z,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299.00,1199.00,75%,3.9,"1,193",2019
B07JPJJZ2H,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.00,1299.00,69%,4.2,"13,120",2020
B09JKNF147,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",339.00,1999.00,83%,4,343,2022
B0B9959XF3,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",12499.00,22990.00,46%,4.3,"1,611",2023
B09PNR6F8Q,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,249.00,399.00,38%,4,"6,558",2024
B07M69276N,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,1399.00,2499.00,44%,4.4,"23,169",2024
B0B1YZ9CB8,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",32999.00,47990.00,31%,4.3,"4,703",2020
B09YLYB9PB,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,149.00,399.00,63%,4,"1,423",2021
B08CTNJ985,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,325.00,999.00,67%,4.3,"2,651",2019
B0BP7XLX48,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.00,1999.00,80%,5,5,2023
B09LHXNZLR,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,199.00,499.00,60%,3.7,612,2019
B0B3N8VG24,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,88.00,299.00,71%,4,"9,378",2019
B08PSVBB2X,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,399.00,1099.00,64%,4.1,"2,685",2024
B0B3MQXNFB,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,57.89,199.00,71%,4,"9,378",2022
B08XMSKKMM,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",799.00,1999.00,60%,3.3,576,2024
B09L8DT7D6,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",205.00,499.00,59%,3.8,313,2021
B00GE55L22,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.00,699.00,57%,4.1,"2,957",2024
B0162K34H2,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,849.00,999.00,15%,4.1,"6,736",2020
B0B8SRZ5SV,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,949.00,1999.00,53%,4.4,"13,552",2022
B07CWNJLPC,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,499.00,1200.00,58%,4.3,"5,451",2020
B00NH12R1O,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299.00,485.00,38%,4.3,"10,911",2020
B0B8SSC5D9,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,949.00,1999.00,53%,4.4,"13,552",2021
B08WKG2MWT,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,379.00,1099.00,66%,4.3,"2,806",2019
B0B466C3G4,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",8990.00,18990.00,53%,3.9,350,2019
B005LJQMZC,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",486.00,1999.00,76%,4.2,"30,023",2019
B07MDRGHWQ,"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",5699.00,11000.00,48%,4.2,"4,003",2022
B07DC4RZPY,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,709.00,1999.00,65%,4.1,"1,78,817",2022
B0B15GSPQW,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",47990.00,70900.00,32%,4.3,"7,109",2022
B08GJNM9N7,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",299.00,1199.00,75%,3.7,490,2021
B09C6FML9B,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,320.00,599.00,47%,4.1,491,2024
B0B65MJ45G,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,139.00,549.00,75%,3.9,61,2022
B08P9RYPLR,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,129.00,249.00,48%,4,"9,378",2020
B0B6F8HHR6,"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",24999.00,35999.00,31%,4.2,"32,840",2022
B084MZXJN6,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,999.00,1699.00,41%,4.4,"7,318",2024
B08XMG618K,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,225.00,499.00,55%,4.1,789,2024
B0BCKWZ884,"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",547.00,2999.00,82%,4.3,407,2024
B00GGGOYEK,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,259.00,699.00,63%,3.8,"2,399",2023
